,Name,SMILES
0,BRD-K49267252,CCOC(=O)CCN1C=C(F)C(=O)NC1=O
1,BRD-K85924431,O=C/1NC(=S)N\C1=C/c1ccco1
2,BRD-A97790207,CC[C@@H](C)NC=C1C(=O)NC(=O)NC1=O
3,BRD-K72088705,Cc1cc(nc(n1)SCC(=O)NN)NN
4,BRD-K81185262,CN(/N=C/c1ccncc1)C1=NCCN1
5,BRD-A98638969,NNC(=O)[C@H]1C[C@H]2C[C@@H]1C[C@@H]2C(=O)NN
6,BRD-K94979336,CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc21
7,BRD-K32149043,Nc1c(no[n+]1[O-])C(=O)c1ccccc1
8,BRD-K64930843,NC(=O)CSc1nnnn1-c1ccccc1
9,BRD-K79775716,CC1=CC(=O)n2ncnc2N1CC(=O)NN
10,BRD-K56049801,COC(CNC1=Nc2ncccc2OC1)OC
11,BRD-K49167060,CC(C)NS(=O)(=O)c1c(noc1C)C
12,BRD-K00818265,CC1CCN(CC1)S(=O)(=O)c1c[nH]cn1
13,BRD-K00053550,NC(=O)c1cc2ccccc2nc1C(=O)N
14,BRD-K01755319,CNC(=O)c1ccc(cc1)OC(=O)C
15,BRD-K95243085,Cc1nnnn1CC(=O)Nc1ccc(cc1)F
16,BRD-A27389140,OCCN1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2
17,BRD-K12135689,Nc1ccc(cc1)OCC(=O)N1CCOCC1
18,BRD-K62091740,CSC1=NC(=O)C(=NN1)C
19,BRD-K22194940,Cn1nnnc1SCC(=O)NC(C)(C)C
20,BRD-A11620549,NN1C(=S)NN=C1[C@@H](O)c1ccccc1
21,BRD-K90605699,CN1N=C(C(=O)O)c2ccccc2C1=O
22,BRD-K32007398,CN(C)CC#Cc1cncc(c1)C(=O)NN
23,BRD-K20147222,CC(C)(C)NC(=O)C[n+]1cccc(c1)/C=N/O
24,BRD-K21544318,O=C1NN=C(N2CCOCC2)C(=O)N1
