"","Name","SMILES","NG_hit"
"1","GRISEOFULVIN","COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O",0
"2","SALSALATE","O=C(Oc1ccccc1C(=O)O)c1ccccc1O",0
"3","DANTHRON","O=C1c2cccc(O)c2C(=O)c2c(O)cccc21",0
"4","MEQUINOL","COc1ccc(O)cc1",0
"5","HYDROCORTISONE","CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO",0
"6","DESOXYCORTICOSTERONE ACETATE","CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C",0
"7","TESTOSTERONE PROPIONATE","CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C",0
"8","SPARTEINE SULFATE","C1CCN2CC3CC(CN4CCCCC34)C2C1.O=S(=O)(O)O",0
"9","ACETYLSALICYLANILIDE","CC(=O)Oc1ccccc1C(=O)Nc1ccccc1",0
"10","PHENYL AMINOSALICYLATE","Nc1ccc(C(=O)Oc2ccccc2)c(O)c1",0
"11","TESTOSTERONE","CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12",0
"12","SANGUINARIUM CHLORIDE","C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-]",1
"13","MITOMYCIN","COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12",1
"14","SODIUM NITROPRUSSIDE DIHYDRATE","N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O.O.O.[Na+].[Na+]",0
"15","SODIUM OXYBATE","O=C([O-])CCCO.[Na+]",0
"16","MANNITOL","OCC(O)C(O)C(O)C(O)CO",0
"17","ACETAMINOPHEN","CC(=O)Nc1ccc(O)cc1",0
"18","ACETYLCHOLINE CHLORIDE","CC(=O)OCC[N+](C)(C)C.[Cl-]",0
"19","ACETYLCYSTEINE","CC(=O)NC(CS)C(=O)O",0
"20","ADENOSINE","Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O",0
