Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_imbalanced,0,508,random,Restricted Similarity,auROC,0.5800000000000001
class_imbalanced,0,508,random,Restricted Similarity,auPR,0.5696621113795881
class_imbalanced,0,508,random,Random (20%),auROC,0.8962227923828247
class_imbalanced,0,508,random,Random (20%),auPR,0.2811819903591989
class_imbalanced,0,508,similar,Restricted Similarity,auROC,0.5249999999999999
class_imbalanced,0,508,similar,Restricted Similarity,auPR,0.5227291054475905
class_imbalanced,0,508,similar,Random (20%),auROC,0.8369590654472038
class_imbalanced,0,508,similar,Random (20%),auPR,0.1302024528786838
class_imbalanced,0,508,diverse,Restricted Similarity,auROC,0.5536363636363637
class_imbalanced,0,508,diverse,Restricted Similarity,auPR,0.5646055044648846
class_imbalanced,0,508,diverse,Random (20%),auROC,0.3840489061639041
class_imbalanced,0,508,diverse,Random (20%),auPR,0.0291529622473879
class_imbalanced,0,1017,random,Restricted Similarity,auROC,0.4968181818181819
class_imbalanced,0,1017,random,Restricted Similarity,auPR,0.5238972280922574
class_imbalanced,0,1017,random,Random (20%),auROC,0.9038643804928486
class_imbalanced,0,1017,random,Random (20%),auPR,0.2877154766989027
class_imbalanced,0,1017,similar,Restricted Similarity,auROC,0.5140909090909092
class_imbalanced,0,1017,similar,Restricted Similarity,auPR,0.5439273243680748
class_imbalanced,0,1017,similar,Random (20%),auROC,0.839269758298709
class_imbalanced,0,1017,similar,Random (20%),auPR,0.1483374499662047
class_imbalanced,0,1017,diverse,Restricted Similarity,auROC,0.620909090909091
class_imbalanced,0,1017,diverse,Restricted Similarity,auPR,0.644099251867206
class_imbalanced,0,1017,diverse,Random (20%),auROC,0.3597335775663077
class_imbalanced,0,1017,diverse,Random (20%),auPR,0.0364431111025731
class_imbalanced,0,2034,random,Restricted Similarity,auROC,0.5777272727272726
class_imbalanced,0,2034,random,Restricted Similarity,auPR,0.5821123273017104
class_imbalanced,0,2034,random,Random (20%),auROC,0.9055285899375164
class_imbalanced,0,2034,random,Random (20%),auPR,0.3110016554661904
class_imbalanced,0,2034,similar,Restricted Similarity,auROC,0.4695454545454546
