Mode,Seed,N (negatives),Data Selection,Test Set,Metric,Value
class_balanced,0,508,random,Restricted Similarity,auROC,0.3440909090909091
class_balanced,0,508,random,Restricted Similarity,auPR,0.449679074397674
class_balanced,0,508,random,Random (20%),auROC,0.6615501135002543
class_balanced,0,508,random,Random (20%),auPR,0.0664170760222692
class_balanced,0,508,similar,Restricted Similarity,auROC,0.3727272727272727
class_balanced,0,508,similar,Restricted Similarity,auPR,0.4887489923068149
class_balanced,0,508,similar,Random (20%),auROC,0.7189980491146556
class_balanced,0,508,similar,Random (20%),auPR,0.0611738441348543
class_balanced,0,508,diverse,Restricted Similarity,auROC,0.4081818181818181
class_balanced,0,508,diverse,Restricted Similarity,auPR,0.4993073698033323
class_balanced,0,508,diverse,Random (20%),auROC,0.3263031254587346
class_balanced,0,508,diverse,Random (20%),auPR,0.0218998338400681
class_balanced,0,1017,random,Restricted Similarity,auROC,0.2486363636363636
class_balanced,0,1017,random,Restricted Similarity,auPR,0.4567487253893035
class_balanced,0,1017,random,Random (20%),auROC,0.7748578321557815
class_balanced,0,1017,random,Random (20%),auPR,0.1199047026290359
class_balanced,0,1017,similar,Restricted Similarity,auROC,0.475
class_balanced,0,1017,similar,Restricted Similarity,auPR,0.4967761268255743
class_balanced,0,1017,similar,Random (20%),auROC,0.7246400861197806
class_balanced,0,1017,similar,Random (20%),auPR,0.063413386218848
class_balanced,0,1017,diverse,Restricted Similarity,auROC,0.3931818181818182
class_balanced,0,1017,diverse,Restricted Similarity,auPR,0.5232863647797719
class_balanced,0,1017,diverse,Random (20%),auROC,0.3004842110189918
class_balanced,0,1017,diverse,Random (20%),auPR,0.0210663646091021
class_balanced,0,2034,random,Restricted Similarity,auROC,0.3181818181818182
class_balanced,0,2034,random,Restricted Similarity,auPR,0.4311239629012197
class_balanced,0,2034,random,Random (20%),auROC,0.8312851164680679
class_balanced,0,2034,random,Random (20%),auPR,0.2069255149745001
class_balanced,0,2034,similar,Restricted Similarity,auROC,0.4068181818181817
class_balanced,0,2034,similar,Restricted Similarity,auPR,0.5184071198534121
class_balanced,0,2034,similar,Random (20%),auROC,0.7798972647183343
class_balanced,0,2034,similar,Random (20%),auPR,0.0775835366829247
class_balanced,0,2034,diverse,Restricted Similarity,auROC,0.3722727272727272
class_balanced,0,2034,diverse,Restricted Similarity,auPR,0.4939236728231294
class_balanced,0,2034,diverse,Random (20%),auROC,0.312738409039173
class_balanced,0,2034,diverse,Random (20%),auPR,0.0215895289167013
class_balanced,0,4068,random,Restricted Similarity,auROC,0.4213636363636364
class_balanced,0,4068,random,Restricted Similarity,auPR,0.4739652448530407
class_balanced,0,4068,random,Random (20%),auROC,0.8443583884878618
class_balanced,0,4068,random,Random (20%),auPR,0.3128903368992162
class_balanced,0,4068,similar,Restricted Similarity,auROC,0.4854545454545454
class_balanced,0,4068,similar,Restricted Similarity,auPR,0.5315538835651601
class_balanced,0,4068,similar,Random (20%),auROC,0.7985064664296673
class_balanced,0,4068,similar,Random (20%),auPR,0.098639352221819
class_balanced,0,4068,diverse,Restricted Similarity,auROC,0.4472727272727272
class_balanced,0,4068,diverse,Restricted Similarity,auPR,0.5387486573112241
class_balanced,0,4068,diverse,Random (20%),auROC,0.3771947460125988
class_balanced,0,4068,diverse,Random (20%),auPR,0.0273498744923682
class_balanced,0,8136,random,Restricted Similarity,auROC,0.4677272727272727
class_balanced,0,8136,random,Restricted Similarity,auPR,0.4929378731770332
class_balanced,0,8136,random,Random (20%),auROC,0.8859285214331454
class_balanced,0,8136,random,Random (20%),auPR,0.4136489583941859
class_balanced,0,8136,similar,Restricted Similarity,auROC,0.4690909090909091
