hit,SMILES,name,egan,ghose,lipinski,muegge,brenk,pains,hbond_donor,hbond_acceptor,MW,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,MR,logp,tpsa
1,[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)c1ccncc1,,True,False,True,True,True,False,1,6,276.031711116,19,11,8,2,4,70.27060000000002,1.8152,97.49
1,[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\SC(=S)NC1=O,,True,False,True,True,True,True,1,6,281.97689867199995,18,10,8,2,3,70.81110000000001,2.2327999999999997,85.38
1,Clc1ccc(c(c1)Cl)C(=O)Nc1nnc(o1)-c1cc(ccc1Cl)Cl,,True,False,False,False,False,False,1,4,400.929237184,24,15,9,3,3,94.16919999999998,5.602500000000001,68.02000000000001
1,[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\SC(=N)NC1=O,,True,False,True,True,True,False,2,6,265.01572670400003,18,10,8,2,3,65.93979999999999,1.8826699999999996,109.22999999999999
1,[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1cccs1,,True,True,True,True,True,False,1,8,321.98304667200006,21,11,10,3,4,76.5376,3.0201000000000002,111.16
1,NS(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(o1)[N+](=O)[O-],,False,True,True,True,True,False,2,6,311.021206008,21,11,10,2,4,71.13080000000001,1.0875000000000004,145.54
1,Nc1nnc(s1)Sc1ncc(s1)[N+](=O)[O-],,True,False,True,True,True,True,1,9,260.944887336,15,5,10,2,3,57.212799999999994,1.6361999999999999,107.83000000000001
1,[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1ccco1,,True,True,True,True,True,False,1,8,306.005890292,21,11,10,3,4,70.92660000000001,2.5515999999999996,124.3
1,Nc1nnc(s1)-c1ccc(o1)[N+](=O)[O-],,True,False,True,True,True,False,1,7,212.000410988,14,6,8,2,2,48.67779999999999,1.2884999999999998,108.08000000000001
1,ClC1=NSSC1=Nc1nncs1,,True,False,True,False,False,False,0,7,235.905186712,12,4,8,2,1,50.133,1.9418999999999997,51.03
1,Clc1cc(c(s1)Cl)CSC(=S)NCc1cccnc1,,True,False,True,True,True,True,1,4,347.93831668,19,12,7,2,4,89.3087,4.757800000000002,24.92
1,NNC(=S)NCCc1ccc(cc1)Cl,,True,False,True,True,True,False,3,2,229.04404606399999,14,9,5,1,3,63.07980000000002,1.2203,50.08
1,Cc1ccc2c(c([nH]c2c1)C(=O)O)Sc1ccc(cc1)Cl,,True,True,True,True,False,False,2,2,317.027727304,21,16,5,3,3,85.57000000000002,4.979120000000002,53.09
1,ONC(=O)c1cccc(c1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],,False,True,True,True,True,False,3,7,334.03719042,23,13,10,2,5,81.72830000000002,1.5392000000000001,133.93
0,CC(=CCN([C@@H](COC(=O)NCCCCCC(=O)NO)c1ccccc1)C(=O)C#Cc1ccccc1)C,,True,False,False,True,True,False,3,5,505.25767121999996,37,29,8,2,12,141.39489999999986,4.366200000000003,107.97
0,Oc1ccccc1C(=O)N/N=C/c1ccc(o1)S(=O)(=O)O,,True,True,True,True,True,False,3,6,310.0259570399999,21,12,9,2,4,71.68960000000003,0.9958000000000002,129.2
0,CN(Cc1ccccc1)C(=O)c1ccc(o1)[N+](=O)[O-],,True,False,True,True,True,False,0,4,260.079706864,19,13,6,2,4,67.60190000000001,2.46,76.59
0,S=C(SCc1ncon1)N1CCSCC1,,True,False,True,True,True,False,0,6,261.006424972,15,8,7,2,2,67.08900000000001,1.6364999999999998,42.160000000000004
0,Cl[Zn]Cl,,True,False,True,False,True,False,0,0,133.86684756,3,0,3,0,0,11.706,1.3765,0.0
0,S=C1SSC=C1c1ccccc1,,True,False,True,True,True,False,0,3,209.963163192,12,9,3,2,1,58.466000000000015,4.206090000000002,0.0
0,CCOC(=O)N=C1Oc2cc(c(cc2O1)Cl)Cl,,True,False,True,True,False,False,0,4,274.975213064,17,10,7,2,1,61.08500000000001,3.389800000000001,64.94
0,COc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)N[C@@H](C)C(=O)O)C)C)C,,False,False,False,False,True,False,5,10,553.1584106839999,40,28,12,3,8,139.56439999999992,3.378560000000001,188.92
0,CCN(CC)C(=S)S[C@@H](C)C(=O)c1cc(ccc1O)Br,,True,True,True,True,True,False,1,4,374.996232916,20,14,6,1,5,92.70930000000004,4.085800000000004,40.540000000000006
0,Cc1ccc(cc1)-c1nc(ncc1C(=O)O)N1CCSCC1,,True,True,True,True,False,False,1,5,315.104147784,22,16,6,3,3,88.70230000000004,2.7034200000000004,66.32
0,Cc1cc(c(cc1Cl)Cl)S(=O)(=O)Nc1cccnc1,,True,False,True,True,False,False,1,3,315.98400392,19,12,7,2,3,76.24450000000002,3.497620000000002,59.06
