Value,Metric,Model
0.3367145896901944,auPR,RFC:Scaffold
0.4274123242096961,auPR,RFC:Scaffold
0.4798889385648847,auPR,RFC:Scaffold
0.3986626186482576,auPR,RFC:Scaffold
0.454059545107239,auPR,RFC:Scaffold
0.3502955837448112,auPR,RFC:Scaffold
0.3402472043458873,auPR,RFC:Scaffold
0.4632627565085794,auPR,RFC:Scaffold
0.4338674041568374,auPR,RFC:Scaffold
0.4013034327059647,auPR,RFC:Scaffold
0.4098692677764415,auPR,RFC:Scaffold
0.3310707456144923,auPR,RFC:Scaffold
0.3761192596835415,auPR,RFC:Scaffold
0.3763037433803803,auPR,RFC:Scaffold
0.2272791583548953,auPR,RFC:Scaffold
0.5534235752862176,auPR,RFC:Scaffold
0.4302844445091293,auPR,RFC:Scaffold
0.2950576982664416,auPR,RFC:Scaffold
0.2941922636829228,auPR,RFC:Scaffold
0.4978831161508212,auPR,RFC:Scaffold
0.5246441809325728,auPR,RFC:Scaffold
0.4941499531668584,auPR,RFC:Scaffold
0.2712012791810524,auPR,RFC:Scaffold
0.5185696110022598,auPR,RFC:Scaffold
0.3974216731399802,auPR,RFC:Scaffold
0.3761791743813704,auPR,RFC:Scaffold
0.3521666310998335,auPR,RFC:Scaffold
0.4025093817209602,auPR,RFC:Scaffold
0.4122934443123536,auPR,RFC:Scaffold
0.3351880449224735,auPR,RFC:Scaffold
0.8467531028368793,auROC,RFC:Scaffold
0.9124493647941492,auROC,RFC:Scaffold
0.9180834457424516,auROC,RFC:Scaffold
0.9178858657102504,auROC,RFC:Scaffold
0.900737675705118,auROC,RFC:Scaffold
0.8417026071414695,auROC,RFC:Scaffold
0.8839531417967917,auROC,RFC:Scaffold
0.9276754868835656,auROC,RFC:Scaffold
0.93599302828954,auROC,RFC:Scaffold
0.92051775835998,auROC,RFC:Scaffold
0.8654419939035323,auROC,RFC:Scaffold
0.8568293695086002,auROC,RFC:Scaffold
0.9059455769213938,auROC,RFC:Scaffold
0.927495118110954,auROC,RFC:Scaffold
0.8538155629588056,auROC,RFC:Scaffold
0.944925141972122,auROC,RFC:Scaffold
0.928241517499332,auROC,RFC:Scaffold
0.8695218792245676,auROC,RFC:Scaffold
0.8544418915308576,auROC,RFC:Scaffold
0.8964224691561693,auROC,RFC:Scaffold
0.9340474783293932,auROC,RFC:Scaffold
0.9269210190558506,auROC,RFC:Scaffold
0.8592332843918236,auROC,RFC:Scaffold
0.9090037148789826,auROC,RFC:Scaffold
0.8753348893850215,auROC,RFC:Scaffold
0.8823449651320656,auROC,RFC:Scaffold
0.879706275033378,auROC,RFC:Scaffold
0.9022211142563048,auROC,RFC:Scaffold
0.9237279876007912,auROC,RFC:Scaffold
0.8743875941304282,auROC,RFC:Scaffold
0.3763034330939032,auPR,SVM:Scaffold
0.5631741007524319,auPR,SVM:Scaffold
0.4883198345750051,auPR,SVM:Scaffold
0.4669444728849263,auPR,SVM:Scaffold
0.4243041510365293,auPR,SVM:Scaffold
0.4233264560513833,auPR,SVM:Scaffold
0.3472761093699746,auPR,SVM:Scaffold
0.4944021115959864,auPR,SVM:Scaffold
0.3699647019840309,auPR,SVM:Scaffold
0.4515838333778735,auPR,SVM:Scaffold
0.4318098291923323,auPR,SVM:Scaffold
0.4355954620848559,auPR,SVM:Scaffold
0.3729540992716446,auPR,SVM:Scaffold
0.4389278411029783,auPR,SVM:Scaffold
0.2489878381486391,auPR,SVM:Scaffold
0.5346920772554106,auPR,SVM:Scaffold
0.4744168380036433,auPR,SVM:Scaffold
0.2755937027868165,auPR,SVM:Scaffold
0.2683599185294537,auPR,SVM:Scaffold
0.4948752272621261,auPR,SVM:Scaffold
0.4899796497613552,auPR,SVM:Scaffold
0.523207729440654,auPR,SVM:Scaffold
0.2929789041229538,auPR,SVM:Scaffold
0.5507105508139296,auPR,SVM:Scaffold
0.4450166288463421,auPR,SVM:Scaffold
0.3894523008970755,auPR,SVM:Scaffold
0.4293091068198707,auPR,SVM:Scaffold
0.3877451113949802,auPR,SVM:Scaffold
0.3981939117134129,auPR,SVM:Scaffold
0.396072323026444,auPR,SVM:Scaffold
0.7352529058313633,auROC,SVM:Scaffold
0.8618594744971944,auROC,SVM:Scaffold
0.8881423226693136,auROC,SVM:Scaffold
0.8732222425685161,auROC,SVM:Scaffold
0.8353297574030946,auROC,SVM:Scaffold
0.8239402416754089,auROC,SVM:Scaffold
0.7797877345472801,auROC,SVM:Scaffold
0.9067220935676956,auROC,SVM:Scaffold
0.8871234143763214,auROC,SVM:Scaffold
0.8801008192205304,auROC,SVM:Scaffold
