number,hidden_size,ffn_num_layers,dropout,mean auroc,mean aupr
0.0,500.0,1.0,0.1,0.8870118341975622,0.4289761986877029
1.0,500.0,1.0,0.15,0.8871036579451962,0.4282498267492959
2.0,500.0,1.0,0.2,0.888213998450408,0.4279832731076475
3.0,500.0,1.0,0.25,0.8888431780776095,0.4265480799195462
4.0,500.0,1.0,0.3,0.8886055432403012,0.4257948079173403
5.0,500.0,1.0,0.35,0.889086749222546,0.4241027298523652
6.0,500.0,1.0,0.4,0.8892260564361202,0.41803086991317
7.0,500.0,2.0,0.1,0.8688197129004619,0.4255613133377111
8.0,500.0,2.0,0.15,0.8865502515436886,0.4276665070136076
9.0,500.0,2.0,0.2,0.8550181659656048,0.4279846033748244
10.0,500.0,2.0,0.25,0.8615936591721907,0.4324272548930947
11.0,500.0,2.0,0.3,0.8714759110363636,0.4284094314428988
12.0,500.0,2.0,0.35,0.8691548557243515,0.4363211988363351
13.0,500.0,2.0,0.4,0.890351108624749,0.4422369350780948
14.0,500.0,3.0,0.1,0.8547813898200317,0.4276512153652418
15.0,500.0,3.0,0.15,0.8557892687345926,0.4254817458035158
16.0,500.0,3.0,0.2,0.868016218131822,0.4283179386252063
17.0,500.0,3.0,0.25,0.8666351215800567,0.4202113636655569
18.0,500.0,3.0,0.3,0.8724678760061416,0.4199655007518619
19.0,500.0,3.0,0.35,0.8791528961106166,0.4269063325943583
20.0,500.0,3.0,0.4,0.8517075409765185,0.4457030144986393
21.0,500.0,4.0,0.1,0.8267056651096928,0.3855878533920749
22.0,500.0,4.0,0.15,0.8586071729178864,0.4372966806761477
23.0,500.0,4.0,0.2,0.870269010971791,0.4381338626837746
24.0,500.0,4.0,0.25,0.8605612780865778,0.4142128581103372
25.0,500.0,4.0,0.3,0.8645349447837298,0.4320297048532729
26.0,500.0,4.0,0.35,0.8450449119394982,0.4363115777666572
27.0,500.0,4.0,0.4,0.8602365597647413,0.4344744011856645
28.0,1000.0,1.0,0.1,0.8870118341975622,0.4289761986877029
29.0,1000.0,1.0,0.15,0.8871036579451962,0.4282498267492959
30.0,1000.0,1.0,0.2,0.888213998450408,0.4279832731076475
31.0,1000.0,1.0,0.25,0.8888431780776095,0.4265480799195462
32.0,1000.0,1.0,0.3,0.8886055432403012,0.4257948079173403
33.0,1000.0,1.0,0.35,0.889086749222546,0.4241027298523652
34.0,1000.0,1.0,0.4,0.8892260564361202,0.41803086991317
35.0,1000.0,2.0,0.1,0.8684586695529637,0.4204773581273351
36.0,1000.0,2.0,0.15,0.8785319000706306,0.4207178313822575
37.0,1000.0,2.0,0.2,0.8778481765983064,0.4236987404140255
38.0,1000.0,2.0,0.25,0.867939953506408,0.4169604699049323
39.0,1000.0,2.0,0.3,0.8757088126315106,0.4133526944295023
40.0,1000.0,2.0,0.35,0.8809458956790946,0.4186315175355335
41.0,1000.0,2.0,0.4,0.8733295935338535,0.4165244301679797
42.0,1000.0,3.0,0.1,0.8482362359377417,0.4166780113051158
43.0,1000.0,3.0,0.15,0.8510954660389011,0.4029678729053612
44.0,1000.0,3.0,0.2,0.8584983716237757,0.4091707462979134
45.0,1000.0,3.0,0.25,0.853886045253012,0.412129556667896
46.0,1000.0,3.0,0.3,0.8646067638538523,0.4172235666803525
47.0,1000.0,3.0,0.35,0.8769360283794381,0.4063596703200089
48.0,1000.0,3.0,0.4,0.8780415701727357,0.4131506186336278
49.0,1000.0,4.0,0.1,0.8560501769715024,0.4313864941933579
50.0,1000.0,4.0,0.15,0.8558751720754127,0.4186488770557184
51.0,1000.0,4.0,0.2,0.8713930904348,0.4237737240649986
52.0,1000.0,4.0,0.25,0.8519336974127437,0.4045157737560323
53.0,1000.0,4.0,0.3,0.8422245763358976,0.4087007117864603
54.0,1000.0,4.0,0.35,0.8488552998480898,0.4090082259582503
55.0,1000.0,4.0,0.4,0.8685034023488697,0.437385503028635
56.0,1500.0,1.0,0.1,0.8870590569151391,0.4270678971827201
57.0,1500.0,1.0,0.15,0.8864378663842084,0.4238347530786301
58.0,1500.0,1.0,0.2,0.8899834634058447,0.4191937544772519
59.0,1500.0,1.0,0.25,0.8889535004162568,0.423781987039161
60.0,1500.0,1.0,0.3,0.8886642033249981,0.4234468933816386
61.0,1500.0,1.0,0.35,0.8890185682811556,0.4220316533652496
62.0,1500.0,1.0,0.4,0.8892587944528961,0.4204463716283095
63.0,1500.0,2.0,0.1,0.8750696094170068,0.4367626653977033
64.0,1500.0,2.0,0.15,0.8670299106018186,0.4259950053707276
65.0,1500.0,2.0,0.2,0.8656509115765482,0.4170283849506996
66.0,1500.0,2.0,0.25,0.8795982519069797,0.4253041930481875
67.0,1500.0,2.0,0.3,0.8812158652829983,0.4310365052347945
68.0,1500.0,2.0,0.35,0.8819488723978764,0.43443548805494
69.0,1500.0,2.0,0.4,0.8778935818491327,0.43689635115261
70.0,1500.0,3.0,0.1,0.8475916795056705,0.423737111836578
71.0,1500.0,3.0,0.15,0.8528808692186408,0.4222315805381469
72.0,1500.0,3.0,0.2,0.8198569519511428,0.4052003772491486
73.0,1500.0,3.0,0.25,0.8644052388175588,0.4016628763595603
74.0,1500.0,3.0,0.3,0.8462108609815638,0.4084757982304159
75.0,1500.0,3.0,0.35,0.8334565455483526,0.4016369058576061
76.0,1500.0,3.0,0.4,0.883972926856778,0.417575416352095
77.0,1500.0,4.0,0.1,0.8084892850781719,0.4014529966410783
78.0,1500.0,4.0,0.15,0.8539545182033409,0.4423302995698472
79.0,1500.0,4.0,0.2,0.8336152233168946,0.4134082190184543
80.0,1500.0,4.0,0.25,0.8261188385333588,0.4078568961134223
81.0,1500.0,4.0,0.3,0.8672237944326598,0.4195324453389096
82.0,1500.0,4.0,0.35,0.8271808921677041,0.4063809541091239
83.0,1500.0,4.0,0.4,0.8417163305300912,0.4308131516585731
84.0,2000.0,1.0,0.1,0.8870590569151391,0.4270678971827201
85.0,2000.0,1.0,0.15,0.8864378663842084,0.4238347530786301
86.0,2000.0,1.0,0.2,0.8899834634058447,0.4191937544772519
87.0,2000.0,1.0,0.25,0.8889535004162568,0.423781987039161
88.0,2000.0,1.0,0.3,0.8886642033249981,0.4234468933816386
89.0,2000.0,1.0,0.35,0.8890185682811556,0.4220316533652496
90.0,2000.0,1.0,0.4,0.8892587944528961,0.4204463716283095
91.0,2000.0,2.0,0.1,0.866261494406373,0.4211798061799028
92.0,2000.0,2.0,0.15,0.8731412758137531,0.4331273971040538
93.0,2000.0,2.0,0.2,0.8645717208694599,0.4149259305679506
94.0,2000.0,2.0,0.25,0.8770224840878837,0.425623417796427
95.0,2000.0,2.0,0.3,0.879275727630174,0.4332208633964821
96.0,2000.0,2.0,0.35,0.8754048309632644,0.429817834134804
97.0,2000.0,2.0,0.4,0.874488168110012,0.4275402904865424
98.0,2000.0,3.0,0.1,0.839870622129427,0.4174909717854175
99.0,2000.0,3.0,0.15,0.8327571560191044,0.3752001976143899
100.0,2000.0,3.0,0.2,0.8548361696719359,0.4035064348877247
101.0,2000.0,3.0,0.25,0.8611131161506588,0.3980131074298641
102.0,2000.0,3.0,0.3,0.8682572392528373,0.4043978930348201
103.0,2000.0,3.0,0.35,0.8719900285559143,0.4285277836275252
104.0,2000.0,3.0,0.4,0.8844162081175951,0.4160112723678262
105.0,2000.0,4.0,0.1,0.8422948563601325,0.4155572611189663
106.0,2000.0,4.0,0.15,0.8580367348060518,0.4144181797925216
107.0,2000.0,4.0,0.2,0.8182604058116946,0.3831740190587254
108.0,2000.0,4.0,0.25,0.8034762154866999,0.3982525835269452
109.0,2000.0,4.0,0.3,0.868671549338213,0.4226817430966662
110.0,2000.0,4.0,0.35,0.8399364697444359,0.4129396779289174
111.0,2000.0,4.0,0.4,0.8547436817017969,0.4227670333930376
112.0,2500.0,1.0,0.1,0.8870590569151391,0.4270678971827201
113.0,2500.0,1.0,0.15,0.8864378663842084,0.4238347530786301
114.0,2500.0,1.0,0.2,0.8899834634058447,0.4191937544772519
115.0,2500.0,1.0,0.25,0.8889535004162568,0.423781987039161
116.0,2500.0,1.0,0.3,0.8886642033249981,0.4234468933816386
117.0,2500.0,1.0,0.35,0.8890185682811556,0.4220316533652496
118.0,2500.0,1.0,0.4,0.8892587944528961,0.4204463716283095
119.0,2500.0,2.0,0.1,0.8604841341079631,0.4081284475095794
120.0,2500.0,2.0,0.15,0.8662377755737155,0.4090433272984796
121.0,2500.0,2.0,0.2,0.8690911464535697,0.4128380617483258
122.0,2500.0,2.0,0.25,0.8689546387939742,0.4203096334106993
123.0,2500.0,2.0,0.3,0.87495110022659,0.4139762042624646
124.0,2500.0,2.0,0.35,0.8761366548714081,0.4166439957460868
125.0,2500.0,2.0,0.4,0.8740936581516584,0.4088224247275739
126.0,2500.0,3.0,0.1,0.8341050088878115,0.4010732262926031
127.0,2500.0,3.0,0.15,0.8375025123718527,0.3982964892961466
128.0,2500.0,3.0,0.2,0.835109117623524,0.4154119673684707
129.0,2500.0,3.0,0.25,0.8656497616225481,0.4242272133973865
130.0,2500.0,3.0,0.3,0.8678828847285468,0.4032974836722158
131.0,2500.0,3.0,0.35,0.8429093156588711,0.3855397645999661
132.0,2500.0,3.0,0.4,0.8697181017956499,0.4107197427764821
133.0,2500.0,4.0,0.1,0.8305561653438547,0.3979797011820971
134.0,2500.0,4.0,0.15,0.8202291662990125,0.4190192105825518
135.0,2500.0,4.0,0.2,0.8210459324776527,0.3934559565289925
136.0,2500.0,4.0,0.25,0.8058401625575079,0.4138550349931552
137.0,2500.0,4.0,0.3,0.8118328119499094,0.4171391291750816
138.0,2500.0,4.0,0.35,0.8599436970964088,0.4165168800863759
139.0,2500.0,4.0,0.4,0.8337418837612125,0.4181615775449441
140.0,3000.0,1.0,0.1,0.8870118341975622,0.4289761986877029
141.0,3000.0,1.0,0.15,0.8871036579451962,0.4282498267492959
142.0,3000.0,1.0,0.2,0.888213998450408,0.4279832731076475
143.0,3000.0,1.0,0.25,0.8888431780776095,0.4265480799195462
144.0,3000.0,1.0,0.3,0.8886055432403012,0.4257948079173403
145.0,3000.0,1.0,0.35,0.889086749222546,0.4241027298523652
146.0,3000.0,1.0,0.4,0.8892260564361202,0.41803086991317
147.0,3000.0,2.0,0.1,0.8733341902313448,0.426615283192429
148.0,3000.0,2.0,0.15,0.8711391776040642,0.4062639657075007
149.0,3000.0,2.0,0.2,0.8674971986406703,0.3994794524390831
150.0,3000.0,2.0,0.25,0.8618998721911152,0.4019637391046589
151.0,3000.0,2.0,0.3,0.8611468757434221,0.400906383759982
152.0,3000.0,2.0,0.35,0.8646177556700966,0.4078911083714074
153.0,3000.0,2.0,0.4,0.8626821954868684,0.4089938120811912
154.0,3000.0,3.0,0.1,0.8424612363639442,0.4195339300098958
155.0,3000.0,3.0,0.15,0.8558277831422686,0.4156950223818667
156.0,3000.0,3.0,0.2,0.8492576360414873,0.4153779409113042
157.0,3000.0,3.0,0.25,0.8644589329991627,0.4263702964101075
158.0,3000.0,3.0,0.3,0.8440896047094292,0.3962751165776982
159.0,3000.0,3.0,0.35,0.8380602734890076,0.4031354164151471
160.0,3000.0,3.0,0.4,0.8086103991275179,0.3746316188655676
161.0,3000.0,4.0,0.1,0.8234921852337638,0.4095026734348417
162.0,3000.0,4.0,0.15,0.8362088913855893,0.4069701908634611
163.0,3000.0,4.0,0.2,0.8488821661327545,0.4236159272031987
164.0,3000.0,4.0,0.25,0.8587313519640815,0.414180498986391
165.0,3000.0,4.0,0.3,0.8753359680110205,0.4234909831433532
166.0,3000.0,4.0,0.35,0.866381653470013,0.4100883046203015
167.0,3000.0,4.0,0.4,0.845435806208716,0.4014675774245343
