number,numbits,radius,classweight,numtrees,mean auroc,mean aupr
0,512,2,balanced,50,0.8777311464012105,0.3130739311159036
1,512,2,balanced,100,0.8844190985113988,0.3230449370663188
2,512,2,balanced,250,0.8850234497537253,0.3308355870941155
3,512,2,balanced,500,0.8915075941212405,0.3281751183652488
4,512,2,balanced,750,0.8893286288438884,0.3343825519052348
5,512,2,balanced,1000,0.8920392859702743,0.336660999084769
6,512,2,balanced,2000,0.8913502713678533,0.3350983141257656
7,512,2,balanced,3000,0.8918406971224447,0.338816556259929
8,512,3,balanced,50,0.8595094488001253,0.2774161911218505
9,512,3,balanced,100,0.8834760660499136,0.3111573179650529
10,512,3,balanced,250,0.8866518887638627,0.3137516829747748
11,512,3,balanced,500,0.8916474815272606,0.3189478176973809
12,512,3,balanced,750,0.8861017073626907,0.3121704232577153
13,512,3,balanced,1000,0.8929388528645613,0.3156724703360629
14,512,3,balanced,2000,0.8920607424232848,0.317993866465073
15,512,3,balanced,3000,0.8939031532798475,0.3123554733061862
16,512,4,balanced,50,0.863910946057775,0.2769207851387306
17,512,4,balanced,100,0.8781811799900852,0.277693799102914
18,512,4,balanced,250,0.8810608343746752,0.2822602708653742
19,512,4,balanced,500,0.8900255936464502,0.2975502237461431
20,512,4,balanced,750,0.8892649922740768,0.2801873228584605
21,512,4,balanced,1000,0.8916437471187582,0.2869042464241653
22,512,4,balanced,2000,0.8918458798044485,0.2868935655253887
23,512,4,balanced,3000,0.8931035768973731,0.2926846727636643
24,512,5,balanced,50,0.8466811025411047,0.2174164850932175
25,512,5,balanced,100,0.8712929397153221,0.2621149781802964
26,512,5,balanced,250,0.8768908823602128,0.2688260067428343
27,512,5,balanced,500,0.8881455377163135,0.2834065937477034
28,512,5,balanced,750,0.892140151591183,0.2759740873897984
29,512,5,balanced,1000,0.8878810699102129,0.2789607388635711
30,512,5,balanced,2000,0.888808569317589,0.2788865892169935
31,512,5,balanced,3000,0.8899210538290047,0.2738227980082028
32,512,6,balanced,50,0.8542908406026072,0.2344715273622813
33,512,6,balanced,100,0.870117875263202,0.233195409983975
34,512,6,balanced,250,0.8828047859269761,0.2510620592259227
35,512,6,balanced,500,0.8887537350226227,0.2564728966733405
36,512,6,balanced,750,0.8935974093215714,0.264301215890284
37,512,6,balanced,1000,0.894553977533883,0.2684811669098985
38,512,6,balanced,2000,0.8959103123538085,0.2692663768537482
39,512,6,balanced,3000,0.8971026128796303,0.267936711453786
40,1024,2,balanced,50,0.868642253502288,0.3610780760188459
41,1024,2,balanced,100,0.8833685937029275,0.3846140078565618
42,1024,2,balanced,250,0.8808436966331209,0.3869942734183754
43,1024,2,balanced,500,0.8916807577201323,0.3796514305479677
44,1024,2,balanced,750,0.891344537062043,0.3853149106292754
45,1024,2,balanced,1000,0.895892193405211,0.3845697769824855
46,1024,2,balanced,2000,0.8941112219981519,0.3887627813689704
47,1024,2,balanced,3000,0.893495755772804,0.3907706027238734
48,1024,3,balanced,50,0.8655136378896016,0.3393376981741574
49,1024,3,balanced,100,0.8835566107381955,0.3403810119889467
50,1024,3,balanced,250,0.8856291324335315,0.3463190380223759
51,1024,3,balanced,500,0.894252922418327,0.3533583021977799
52,1024,3,balanced,750,0.8930626078655468,0.3582260948954403
53,1024,3,balanced,1000,0.8924751189726017,0.361639373558612
54,1024,3,balanced,2000,0.8933664887973086,0.3649030458732183
55,1024,3,balanced,3000,0.8938031497726414,0.362953977632658
56,1024,4,balanced,50,0.8656021196890489,0.2879553719127032
57,1024,4,balanced,100,0.8852024270527613,0.3001035320746404
58,1024,4,balanced,250,0.8864642777319828,0.3093093818998495
59,1024,4,balanced,500,0.8948626589587626,0.3169354091383523
60,1024,4,balanced,750,0.890674545780203,0.3206712592770251
61,1024,4,balanced,1000,0.892801540986603,0.3205893743653122
62,1024,4,balanced,2000,0.8920828685766068,0.3142705266437524
63,1024,4,balanced,3000,0.8951551468023528,0.3246407565619187
64,1024,5,balanced,50,0.8733133019213853,0.2822496789561775
65,1024,5,balanced,100,0.883932925235646,0.2930452130601675
66,1024,5,balanced,250,0.8906904119066307,0.3002050878407755
67,1024,5,balanced,500,0.8950349064412689,0.3099254054039959
68,1024,5,balanced,750,0.8913807006767901,0.3006271003659159
69,1024,5,balanced,1000,0.8920716702789689,0.3058964743802688
70,1024,5,balanced,2000,0.892719240948252,0.3046957262466285
71,1024,5,balanced,3000,0.8922133062898165,0.304050471363614
72,1024,6,balanced,50,0.8887008993966264,0.2819058231900502
73,1024,6,balanced,100,0.882047150095007,0.2923372387359405
74,1024,6,balanced,250,0.8845468105342814,0.2679645131421174
75,1024,6,balanced,500,0.8958758880235047,0.2888926027921376
76,1024,6,balanced,750,0.8942666927022961,0.2924330781792938
77,1024,6,balanced,1000,0.8970107213802719,0.303874290315488
78,1024,6,balanced,2000,0.8969641710313635,0.2910177301536186
