num,init_lr,dropout,hiddensize,ffn num layers,depth,mean auc,mean prc-auc
0.0,0.001,0.1,300.0,1.0,3.0,0.7032024544211729,0.419176887029981
1.0,0.001,0.1,300.0,1.0,4.0,0.7225693233312525,0.4329754178729115
2.0,0.001,0.1,300.0,1.0,5.0,0.7122643498027706,0.4354892547405091
3.0,0.001,0.1,300.0,2.0,3.0,0.7609869869094584,0.4496071055035663
4.0,0.001,0.1,300.0,2.0,4.0,0.780816452449779,0.4814435648385283
5.0,0.001,0.1,300.0,2.0,5.0,0.7710583534642156,0.4615477388385907
6.0,0.001,0.1,300.0,3.0,3.0,0.8195794918979235,0.5652176205220822
7.0,0.001,0.1,300.0,3.0,4.0,0.8209794145228075,0.5459299469824376
8.0,0.001,0.1,300.0,3.0,5.0,0.8174984123203561,0.5454531617900118
9.0,0.001,0.1,500.0,1.0,3.0,0.7562901943772927,0.4902795021763674
10.0,0.001,0.1,500.0,1.0,4.0,0.7485190306176314,0.4695595506146889
11.0,0.001,0.1,500.0,1.0,5.0,0.752384373378598,0.4589596108968146
12.0,0.001,0.1,500.0,2.0,3.0,0.7753904312411026,0.4990722010510167
13.0,0.001,0.1,500.0,2.0,4.0,0.7716145150975701,0.5329501767157602
14.0,0.001,0.1,500.0,2.0,5.0,0.777343487849763,0.519324485185654
15.0,0.001,0.1,500.0,3.0,3.0,0.8014558054530879,0.5632889786675569
16.0,0.001,0.1,500.0,3.0,4.0,0.7866205493057595,0.5292843178899251
17.0,0.001,0.1,500.0,3.0,5.0,0.7825872367257073,0.55797680307833
18.0,0.001,0.1,700.0,1.0,3.0,0.74996558600906,0.5106607945163221
19.0,0.001,0.1,700.0,1.0,4.0,0.7464407659395559,0.5122181516515291
20.0,0.001,0.1,700.0,1.0,5.0,0.7468943737620214,0.4760217589157796
21.0,0.001,0.1,700.0,2.0,3.0,0.7627689738323138,0.4940548235739572
22.0,0.001,0.1,700.0,2.0,4.0,0.7730730397910617,0.5099744595781178
23.0,0.001,0.1,700.0,2.0,5.0,0.7802583382820436,0.5264587894506675
24.0,0.001,0.1,700.0,3.0,3.0,0.7996319665129935,0.5825021390829384
25.0,0.001,0.1,700.0,3.0,4.0,0.7924065217371791,0.5882702776436693
26.0,0.001,0.1,700.0,3.0,5.0,0.7976601497738627,0.5900441235230708
27.0,0.001,0.1,1000.0,1.0,3.0,0.7596491474907859,0.5312309582213236
28.0,0.001,0.1,1000.0,1.0,4.0,0.7511215877972403,0.5162918984925743
29.0,0.001,0.1,1000.0,1.0,5.0,0.7537814556604879,0.5040375831004537
30.0,0.001,0.1,1000.0,2.0,3.0,0.758501048454478,0.4761602942108907
31.0,0.001,0.1,1000.0,2.0,4.0,0.7772604831299507,0.5147182322464271
32.0,0.001,0.1,1000.0,2.0,5.0,0.7646553852995783,0.5360064784881812
33.0,0.001,0.1,1000.0,3.0,3.0,0.7880849053955857,0.5360660085370591
34.0,0.001,0.1,1000.0,3.0,4.0,0.798797695778268,0.5676155329540556
35.0,0.001,0.1,1000.0,3.0,5.0,0.8051168743758527,0.5929535253820485
36.0,0.001,0.1,1200.0,1.0,3.0,0.7498242266162962,0.5215229331787424
37.0,0.001,0.1,1200.0,1.0,4.0,0.7487929539660024,0.5186497717326893
38.0,0.001,0.1,1200.0,1.0,5.0,0.7468604808540124,0.505192111471212
39.0,0.001,0.1,1200.0,2.0,3.0,0.766108271967354,0.5257114479814197
40.0,0.001,0.1,1200.0,2.0,4.0,0.7622408472917965,0.5048164395672509
41.0,0.001,0.1,1200.0,2.0,5.0,0.7431688989805147,0.44768404612028
42.0,0.001,0.1,1200.0,3.0,3.0,0.7992263552712117,0.5752095667827993
