SMILES,hit
[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)c1ccncc1,1
[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\SC(=S)NC1=O,1
Clc1ccc(c(c1)Cl)C(=O)Nc1nnc(o1)-c1cc(ccc1Cl)Cl,1
[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\SC(=N)NC1=O,1
[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1cccs1,1
NS(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(o1)[N+](=O)[O-],1
Nc1nnc(s1)Sc1ncc(s1)[N+](=O)[O-],1
[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1ccco1,1
Nc1nnc(s1)-c1ccc(o1)[N+](=O)[O-],1
ClC1=NSSC1=Nc1nncs1,1
Clc1cc(c(s1)Cl)CSC(=S)NCc1cccnc1,1
NNC(=S)NCCc1ccc(cc1)Cl,1
Cc1ccc2c(c([nH]c2c1)C(=O)O)Sc1ccc(cc1)Cl,1
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],1
CC(=CCN([C@@H](COC(=O)NCCCCCC(=O)NO)c1ccccc1)C(=O)C#Cc1ccccc1)C,0
Oc1ccccc1C(=O)N/N=C/c1ccc(o1)S(=O)(=O)O,0
CN(Cc1ccccc1)C(=O)c1ccc(o1)[N+](=O)[O-],0
S=C(SCc1ncon1)N1CCSCC1,0
Cl[Zn]Cl,0
S=C1SSC=C1c1ccccc1,0
CCOC(=O)N=C1Oc2cc(c(cc2O1)Cl)Cl,0
COc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)N[C@@H](C)C(=O)O)C)C)C,0
CCN(CC)C(=S)S[C@@H](C)C(=O)c1cc(ccc1O)Br,0
Cc1ccc(cc1)-c1nc(ncc1C(=O)O)N1CCSCC1,0
Cc1cc(c(cc1Cl)Cl)S(=O)(=O)Nc1cccnc1,0
COc1c(ccc2c1cc(c1c(cc3c(c21)OCO3)C(=O)O)[N+](=O)[O-])O,0
Cc1ccc(cc1)Nc1c(c(c(c(c1C(=O)O)F)F)F)F,0
Clc1cccc(c1SC(=O)N1CCOCC1)Cl,0
Oc1c(cc(cc1C(=O)CSC(=S)N1CCOCC1)Br)Br,0
Clc1ccc(cc1)N1NC(=S)SC1=S,0
CCS(=O)(=O)C(=C1Nc2ccccc2N1)S(=O)(=O)CC,0
[O-][N+](=O)c1cn(cn1)CC(=O)Nc1ccc(cc1Cl)Cl,0
Clc1cc2c(c(c1)CSC(=S)N1CCSCC1)OCOC2,0
CNC(=S)Sc1ccc(cc1F)F,0
CN1SC(=O)c2ccccc21,0
CSC1=NN(CSc2c(cccc2Cl)Cl)C(=S)S1,0
Nc1ccccc1Sc1c(cncc1Cl)Cl,0
CS(=O)(=O)NCc1c(cccc1Sc1ccc(cc1)Cl)Cl,0
OC(=O)c1cc(ccc1O)NCc1c(c(c(c(c1F)F)C(F)(F)F)F)F,0
Cc1nc(cc(n1)-c1ccccc1)Nc1ccc(c(c1)C(=O)O)O,0
COCc1nc(ncc1C(=O)O)N1CCN(CC1)c1ccccc1F,0
CCN(CC)C(=S)S,0
Cc1nc(c(c(c1C(=O)O)-c1ccc(cc1)F)C(=O)O)C,0
C[C@@H]1CC=CC[C@H](NC(=O)[C@H](C)N(C)C(=O)c2ccccc2O1)c1ccccc1,0
[O-][N+](=O)c1cc(c(cc1/C=C/c1ccc(c(c1)Cl)Cl)/C=C/c1ccc(c(c1)Cl)Cl)[N+](=O)[O-],0
Clc1ccc(cc1)S(=O)(=O)Nc1ccccc1Sc1c(cncc1Cl)Cl,0
CN(Cc1cccs1)C(=S)SCc1cccs1,0
Clc1cccc(c1CSC(=S)Nc1ccccc1)Cl,0
OC(=O)c1cc(ccc1O)/N=C\c1ccc(c(c1)F)N1CCCC1,0
Oc1c(cc2c(c1I)Oc1c(c(c(cc1C21OC(=O)c2c(c(c(c(c21)Cl)Cl)Cl)Cl)I)O)I)I,0
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1cc(ccc1[N+](=O)[O-])O,0
COC(=O)[C@@H](NC(=O)c1ccc(o1)[N+](=O)[O-])C(C)C,0
CC[C@@H]1CC=CC[C@H](C)Oc2ccccc2C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N1,0
Oc1ccc(cc1Cl)NS(=O)(=O)c1ccc(cc1)Cl,0
CC[C@@H](C)NCCOc1ccc(cc1)C(C)(C)c1ccccc1,0
Nc1ncc(s1)[N+](=O)[O-],0
COc1cc(c2c(c1C=O)Oc1c(c(c(c3c1[C@@H](O)OC3=O)O)C)OC2=O)C,0
Cc1cc2c(c(c1C(=O)O)O)C(=O)c1c(cc(cc1C2=O)O)O,0
CC(C)(C)c1ccc(cc1)OCCCNCc1ccccc1,1
COc1ccccc1C1CCN(CCCOc2ccc(cc2)Cl)CC1,1
CCOC(=S)SSC(=S)OCC,1
[O-][N+](=O)c1ccc(o1)C(=O)ONC(=O)c1ccc(cc1)OC(F)F,1
ONC(=O)c1ccc(cc1)C(=O)N/N=C/c1cc(cc(c1O)[N+](=O)[O-])Br,1
[O-][N+](=O)c1ccc(o1)C(=O)Nc1ccccc1Br,1
CNC1=CC(=O)c2ccccc2C1=O,1
[O-][N+](=O)c1ccc(o1)/C=C/C=N/N1CC(=O)NC1=O,1
Oc1ccccc1C(=O)c1[nH]c(c(c1-n1c(c(cc1C(=O)c1ccccc1O)Cl)Cl)Cl)Cl,1
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc1cc(cc(c1)Cl)Cl,1
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,1
[O-][N+](=O)c1cnc(s1)NC(=O)c1cccs1,1
[O-][N+](=O)c1cnc(s1)NC(=O)c1ccc(c(c1)Cl)[N+](=O)[O-],1
Oc1ccc(cc1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],1
[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)c1cc2ccccc2o1,1
[O-][N+](=O)c1cccc(c1)NCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],1
CCCCCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],1
Oc1ccccc1C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,1
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,1
CC(C)[C@@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,1
CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccc(cc1)F,1
CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,1
CN1C[C@H]2C[C@@H]1CN2c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,1
OC(=O)C1=CN(C2CC2)c2c(cc(c(c2C#N)N2C[C@@H]3NCCO[C@H]3C2)F)C1=O,1
CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,1
Oc1ccc2ccccc2c1SSc1c(ccc2ccccc12)O,1
C[C@H]1COc2c(c(cc3c2N1C=C(C(=O)O)C3=O)F)F,1
[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)Nc1ccccc1,1
CCCCCCC[N+](CC)(CC)CCCCc1ccc(cc1)Cl,1
OC(=O)C[C@@H](S[Au])C(=O)O,1
[O-][N+](=O)c1ccc(cc1)NC(=S)NCc1ccc(c(c1)Cl)Cl,1
CO[C@H]1/C=C\O[C@@]2(C)Oc3c(c(c4c(c3C2=O)C(=O)/C(=C/NN2CCN(C)CC2)[C@@H](NC(=O)/C(=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C)C4=O)O)C,1
[O-][N+](=O)c1cnc(s1)NC(=O)c1cccc(c1)Cl,1
[O-][N+](=O)c1ccc(o1)/C=N/NS(=O)(=O)c1ccc(cc1)Cl,1
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)Cl,1
O=C1C=CC(=O)c2ccccc21,1
